fecha	objective	metric	is_unbalance	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ganancia	iteracion
20230718 012057	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.10023668355822	0.67601145090484	1498	441	0.805053089353995	185
20230718 012347	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	10	TRUE	491	0.219143086460499	0.612940826551849	1524	164	0.803907225820568	186
20230718 013641	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	243	TRUE	491	0.0474701785167272	0.429053459587623	2436	996	0.803984840139102	187
20230718 014115	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	36	TRUE	491	0.103138443906932	0.479131487350725	1766	856	0.803796319288979	188
20230718 014700	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	96	TRUE	491	0.182998834150444	0.365193852217682	983	191	0.801700214143932	189
20230718 015047	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	34	TRUE	491	0.180525767177416	0.375565602557873	31	424	0.795511545249627	190
20230718 015716	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	92	TRUE	491	0.0951645068307093	0.499168214350892	1287	599	0.804422051759756	191
20230718 020029	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.126662158200941	0.590482779419539	2137	913	0.805886334798991	192
20230718 020302	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.234038772750492	0.607036135536083	1925	93	0.805556098051915	193
20230718 020606	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	23	TRUE	491	0.282575266930221	0.698400554834073	1927	650	0.803653554714608	194
20230718 021016	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	45	TRUE	491	0.174217840470022	0.977857236572728	1317	445	0.804192207119982	195
20230718 021836	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	85	TRUE	491	0.0479006985867757	0.89217313160561	580	985	0.802936414846156	196
20230718 022320	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	59	TRUE	491	0.168967482481027	0.924969467561529	1031	907	0.802769916806015	197
20230718 022650	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.105633653759762	0.733564337224211	2068	421	0.804875883348267	198
20230718 023002	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	24	TRUE	491	0.211360490206449	0.413495278916392	2493	329	0.800488763530876	199
20230718 023238	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.208859700891721	0.552236345094722	2395	612	0.80958972662039	200
